fecha,equipo_local,goles_local,equipo_visitante,goles_visitante
2025-01-10,Boca,2,River,1
2025-01-11,Racing,3,Independiente,0
2025-01-12,San Lorenzo,1,Estudiantes,1
2025-01-13,Rosario Central,0,Boca,2
2025-01-14,River,4,Racing,2
2025-01-15,Independiente,1,San Lorenzo,0
2025-01-16,Estudiantes,2,Rosario Central,2
2025-01-17,Boca,3,Racing,3
2025-01-18,River,1,Independiente,1
2025-01-19,San Lorenzo,2,Rosario Central,0
2025-01-20,Estudiantes,0,Boca,1
2025-01-21,Racing,2,River,2
2025-01-22,Independiente,3,Estudiantes,1
2025-01-23,Rosario Central,1,San Lorenzo,1
2025-01-24,Boca,4,Independiente,2
2025-01-25,River,2,Estudiantes,0
2025-01-26,Racing,1,Rosario Central,0
2025-01-27,San Lorenzo,3,Boca,2
2025-01-28,Estudiantes,1,Racing,1
2025-01-29,Independiente,0,River,3
2025-01-30,Rosario Central,2,Estudiantes,1
2025-01-31,Boca,2,San Lorenzo,2
2025-02-01,River,5,Rosario Central,1
2025-02-02,Racing,0,Boca,1
2025-02-03,Estudiantes,2,Independiente,2
2025-02-04,San Lorenzo,1,River,2
2025-02-05,Rosario Central,3,Racing,2
2025-02-06,Boca,1,Estudiantes,0
2025-02-07,Independiente,2,Rosario Central,2
2025-02-08,River,3,San Lorenzo,1
